Date : 2026-01-31 20:12:45
Directory : /Users/kietle/Desktop/Roo-Code-Fork/src
Total : 946 files,  188384 codes, 22908 comments, 31318 blanks, all 242610 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/SwitchModeTool.ts                                                        | TypeScript         |         65 |          3 |         20 |         88 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/ToolRepetitionDetector.ts                                                | TypeScript         |         61 |         37 |         14 |        112 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/UpdateTodoListTool.ts                                                    | TypeScript         |        191 |          2 |         29 |        222 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/UseMcpToolTool.ts                                                        | TypeScript         |        258 |         22 |         50 |        330 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/WriteToFileTool.ts                                                       | TypeScript         |        203 |          6 |         53 |        262 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/BrowserActionTool.coordinateScaling.spec.ts                    | TypeScript         |         57 |         13 |         15 |         85 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/BrowserActionTool.screenshot.spec.ts                           | TypeScript         |         23 |          0 |          3 |         26 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/ToolRepetitionDetector.spec.ts                                 | TypeScript         |        453 |        105 |        143 |        701 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/applyDiffTool.experiment.spec.ts                               | TypeScript         |        106 |         11 |         24 |        141 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/askFollowupQuestionTool.spec.ts                                | TypeScript         |        177 |          7 |         28 |        212 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/attemptCompletionTool.spec.ts                                  | TypeScript         |        389 |         14 |         70 |        473 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/editFileTool.spec.ts                                           | TypeScript         |        620 |         27 |        127 |        774 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/executeCommand.spec.ts                                         | TypeScript         |        333 |         49 |         73 |        455 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/executeCommandTimeout.integration.spec.ts                      | TypeScript         |        296 |         41 |         70 |        407 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/executeCommandTool.spec.ts                                     | TypeScript         |        208 |         42 |         40 |        290 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/generateImageTool.test.ts                                      | TypeScript         |        317 |         13 |         42 |        372 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/multiApplyDiffTool.spec.ts                                     | TypeScript         |        242 |         11 |         36 |        289 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/newTaskTool.spec.ts                                            | TypeScript         |        533 |         56 |         89 |        678 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/readFileTool.spec.ts                                           | TypeScript         |      1,406 |        276 |        325 |      2,007 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/runSlashCommandTool.spec.ts                                    | TypeScript         |        383 |          1 |         70 |        454 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/searchAndReplaceTool.spec.ts                                   | TypeScript         |        334 |         11 |         70 |        415 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/searchReplaceTool.spec.ts                                      | TypeScript         |        353 |         14 |         72 |        439 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/updateTodoListTool.spec.ts                                     | TypeScript         |        215 |          0 |         29 |        244 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/useMcpToolTool.spec.ts                                         | TypeScript         |        494 |         16 |         72 |        582 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/validateToolUse.spec.ts                                        | TypeScript         |        179 |         15 |         32 |        226 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/__tests__/writeToFileTool.spec.ts                                        | TypeScript         |        365 |         17 |         86 |        468 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/accessMcpResourceTool.ts                                                 | TypeScript         |         78 |          2 |         21 |        101 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/apply-patch/__tests__/apply.spec.ts                                      | TypeScript         |        174 |          3 |         13 |        190 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/apply-patch/__tests__/parser.spec.ts                                     | TypeScript         |        287 |          0 |         31 |        318 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/apply-patch/__tests__/seek-sequence.spec.ts                              | TypeScript         |         75 |          8 |         15 |         98 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/apply-patch/apply.ts                                                     | TypeScript         |        123 |         56 |         27 |        206 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/apply-patch/index.ts                                                     | TypeScript         |          5 |          6 |          4 |         15 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/apply-patch/parser.ts                                                    | TypeScript         |        228 |         64 |         41 |        333 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/apply-patch/seek-sequence.ts                                             | TypeScript         |         84 |         55 |         15 |        154 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/helpers/__tests__/toolResultFormatting.spec.ts                           | TypeScript         |         21 |          0 |          6 |         27 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/helpers/__tests__/truncateDefinitions.spec.ts                            | TypeScript         |        124 |          0 |         37 |        161 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/helpers/fileTokenBudget.ts                                               | TypeScript         |          3 |          5 |          2 |         10 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/helpers/imageHelpers.ts                                                  | TypeScript         |        125 |         46 |         22 |        193 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/helpers/toolResultFormatting.ts                                          | TypeScript         |          6 |          4 |          1 |         11 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/helpers/truncateDefinitions.ts                                           | TypeScript         |         23 |         14 |          8 |         45 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/tools/validateToolUse.ts                                                       | TypeScript         |        120 |         28 |         31 |        179 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/BrowserSessionPanelManager.ts                                          | TypeScript         |        238 |         38 |         35 |        311 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/ClineProvider.ts                                                       | TypeScript         |      2,536 |        491 |        461 |      3,488 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/ClineProvider.apiHandlerRebuild.spec.ts                      | TypeScript         |        485 |         29 |         67 |        581 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/ClineProvider.flicker-free-cancel.spec.ts                    | TypeScript         |        247 |         33 |         43 |        323 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/ClineProvider.spec.ts                                        | TypeScript         |      2,902 |        340 |        617 |      3,859 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/ClineProvider.sticky-mode.spec.ts                            | TypeScript         |        888 |        154 |        192 |      1,234 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/ClineProvider.sticky-profile.spec.ts                         | TypeScript         |        678 |         83 |        123 |        884 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/ClineProvider.taskHistory.spec.ts                            | TypeScript         |        480 |         24 |         93 |        597 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/aggregateTaskCosts.spec.ts                                   | TypeScript         |        257 |         14 |         56 |        327 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/checkpointRestoreHandler.spec.ts                             | TypeScript         |        186 |         23 |         34 |        243 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/diagnosticsHandler.spec.ts                                   | TypeScript         |        142 |         14 |         33 |        189 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/generateSystemPrompt.browser-capability.spec.ts              | TypeScript         |         68 |          8 |          9 |         85 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/messageEnhancer.test.ts                                      | TypeScript         |        274 |         23 |         69 |        366 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/telemetrySettingsTracking.spec.ts                            | TypeScript         |        106 |         15 |         35 |        156 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/webviewMessageHandler.checkpoint.spec.ts                     | TypeScript         |        111 |         12 |         15 |        138 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/webviewMessageHandler.delete.spec.ts                         | TypeScript         |        411 |         80 |         77 |        568 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/webviewMessageHandler.edit.spec.ts                           | TypeScript         |        328 |         25 |         45 |        398 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/webviewMessageHandler.imageMentions.integration.spec.ts      | TypeScript         |        112 |          2 |         17 |        131 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/webviewMessageHandler.rooBalance.spec.ts                     | TypeScript         |         97 |          0 |         21 |        118 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/webviewMessageHandler.routerModels.spec.ts                   | TypeScript         |        186 |         14 |         26 |        226 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/webviewMessageHandler.searchFiles.spec.ts                    | TypeScript         |        204 |         40 |         54 |        298 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/__tests__/webviewMessageHandler.spec.ts                                | TypeScript         |        754 |         35 |        122 |        911 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/aggregateTaskCosts.ts                                                  | TypeScript         |         46 |         12 |          8 |         66 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/checkpointRestoreHandler.ts                                            | TypeScript         |         74 |         22 |          9 |        105 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/diagnosticsHandler.ts                                                  | TypeScript         |         68 |         10 |         15 |         93 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/generateSystemPrompt.ts                                                | TypeScript         |         83 |          8 |         16 |        107 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/getNonce.ts                                                            | TypeScript         |          8 |          8 |          1 |         17 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/getUri.ts                                                              | TypeScript         |          4 |         11 |          1 |         16 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/messageEnhancer.ts                                                     | TypeScript         |        101 |         28 |         15 |        144 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/webviewMessageHandler.ts                                               | TypeScript         |      2,972 |        327 |        376 |      3,675 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/worktree/handlers.ts                                                   | TypeScript         |        216 |         19 |         43 |        278 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/core/webview/worktree/index.ts                                                      | TypeScript         |         14 |          7 |          3 |         24 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/esbuild.mjs                                                                         | JavaScript         |        108 |         15 |         14 |        137 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/eslint.config.mjs                                                                   | JavaScript         |         31 |          2 |          3 |         36 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/extension.ts                                                                        | TypeScript         |        333 |         75 |         85 |        493 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/extension/__tests__/api-send-message.spec.ts                                        | TypeScript         |        106 |         22 |         28 |        156 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/extension/api.ts                                                                    | TypeScript         |        360 |         11 |         93 |        464 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/index.ts                                                                       | TypeScript         |         14 |         22 |          6 |         42 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ca/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ca/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ca/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ca/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ca/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/de/common.json                                                         | JSON               |        262 |          0 |          1 |        263 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/de/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/de/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/de/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/de/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/en/common.json                                                         | JSON               |        256 |          0 |          1 |        257 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/en/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/en/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/en/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/en/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/es/common.json                                                         | JSON               |        262 |          0 |          1 |        263 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/es/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/es/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/es/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/es/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/fr/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/fr/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/fr/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/fr/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/fr/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/hi/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/hi/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/hi/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/hi/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/hi/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/id/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/id/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/id/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/id/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/id/tools.json                                                          | JSON               |         34 |          0 |          1 |         35 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/it/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/it/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/it/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/it/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/it/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ja/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ja/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ja/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ja/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ja/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ko/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ko/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ko/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ko/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ko/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/nl/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/nl/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/nl/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/nl/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/nl/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pl/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pl/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pl/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pl/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pl/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pt-BR/common.json                                                      | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pt-BR/embeddings.json                                                  | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pt-BR/marketplace.json                                                 | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pt-BR/mcp.json                                                         | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/pt-BR/tools.json                                                       | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ru/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ru/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ru/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ru/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/ru/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/tr/common.json                                                         | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/tr/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/tr/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/tr/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/tr/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/vi/common.json                                                         | JSON               |        274 |          0 |          1 |        275 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/vi/embeddings.json                                                     | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/vi/marketplace.json                                                    | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/vi/mcp.json                                                            | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/vi/tools.json                                                          | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-CN/common.json                                                      | JSON               |        272 |          0 |          1 |        273 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-CN/embeddings.json                                                  | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-CN/marketplace.json                                                 | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-CN/mcp.json                                                         | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-CN/tools.json                                                       | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-TW/common.json                                                      | JSON               |        267 |          0 |          1 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-TW/embeddings.json                                                  | JSON               |         74 |          0 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-TW/marketplace.json                                                 | JSON               |         69 |          0 |          1 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-TW/mcp.json                                                         | JSON with Comments |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/locales/zh-TW/tools.json                                                       | JSON               |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/i18n/setup.ts                                                                       | TypeScript         |         48 |         11 |         15 |         74 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/claude-code/__tests__/oauth.spec.ts                                    | TypeScript         |        189 |         13 |         34 |        236 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/claude-code/__tests__/streaming-client.spec.ts                         | TypeScript         |        472 |         34 |         80 |        586 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/claude-code/oauth.ts                                                   | TypeScript         |        463 |         92 |         84 |        639 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/claude-code/streaming-client.ts                                        | TypeScript         |        534 |        149 |         77 |        760 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/diagnostics/__tests__/diagnostics.spec.ts                              | TypeScript         |        435 |         92 |         90 |        617 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/diagnostics/index.ts                                                   | TypeScript         |        165 |         59 |         20 |        244 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/editor/DecorationController.ts                                         | TypeScript         |         63 |          4 |         15 |         82 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/editor/DiffViewProvider.ts                                             | TypeScript         |        500 |        109 |        115 |        724 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/editor/EditorUtils.ts                                                  | TypeScript         |        126 |         65 |         20 |        211 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/editor/__tests__/DiffViewProvider.spec.ts                              | TypeScript         |        387 |         57 |         77 |        521 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/editor/__tests__/EditorUtils.spec.ts                                   | TypeScript         |        114 |          9 |         25 |        148 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/misc/__tests__/extract-text-from-xlsx.test.ts                          | TypeScript         |        158 |          5 |         59 |        222 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/misc/__tests__/extract-text-large-files.spec.ts                        | TypeScript         |        149 |         20 |         53 |        222 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/misc/__tests__/extract-text.spec.ts                                    | TypeScript         |        494 |        106 |        112 |        712 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/misc/__tests__/line-counter.spec.ts                                    | TypeScript         |         72 |          7 |         20 |         99 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/misc/__tests__/open-file.spec.ts                                       | TypeScript         |        183 |         15 |         41 |        239 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/misc/__tests__/performance/processCarriageReturns.benchmark.ts         | TypeScript         |        284 |         74 |         84 |        442 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/integrations/misc/__tests__/read-file-tool.spec.ts                                  | TypeScript         |         98 |         23 |         27 |        148 |
